UNITID,EFFYLEV,EFYTOTLT
100654,1,6388
100654,2,5295
100654,4,1093
100663,1,20647
100663,2,13004
100663,4,7643
100690,1,1062
100690,2,508
100690,4,554
100706,1,8976
100706,2,6984
100706,4,1992
100724,1,6517
100724,2,5548
100724,4,969
100751,1,33681
100751,2,27175
100751,4,6506
100760,1,3411
100760,2,3411
100812,1,4782
100812,2,4782
100830,1,7119
100830,2,5833
100830,4,1286
100858,1,26840
100858,2,21322
100858,4,5518
100937,1,1594
100937,2,1571
100937,4,23
101028,1,2525
101028,2,2525
101073,1,774
101073,2,774
101116,1,1353
101116,2,1248
101116,4,105
101143,1,4103
101143,2,4103
101161,1,6846
101161,2,6846
101189,1,3961
101189,2,3316
101189,4,645
101240,1,9949
101240,2,9949
101277,1,52
101277,2,52
101286,1,6992
101286,2,6992
101295,1,8505
101295,2,8505
101301,1,3385
101301,2,3385
101365,1,755
101365,2,755
101435,1,1315
101435,2,1315
101453,1,109
101453,2,73
101453,4,36
101462,1,2318
101462,2,2318
101471,1,1007
101471,2,1007
101480,1,11394
101480,2,9526
101480,4,1868
101499,1,1956
101499,2,1956
101505,1,14856
101505,2,14856
101514,1,17627
101514,2,17627
101541,1,336
101541,2,336
101569,1,7058
101569,2,7058
101587,1,6871
101587,2,2259
101587,4,4612
101602,1,2657
101602,2,2657
101648,1,494
101648,2,494
101675,1,1954
101675,2,1954
101693,1,1998
101693,2,1729
101693,4,269
101709,1,3474
101709,2,2779
101709,4,695
101736,1,6054
101736,2,6054
101879,1,8691
101879,2,7282
101879,4,1409
101897,1,4647
101897,2,4647
101912,1,2100
101912,2,2048
101912,4,52
101949,1,2171
101949,2,2171
101958,1,151
101958,2,151
101994,1,1074
101994,2,1074
102030,1,5906
102030,2,5906
102049,1,5190
102049,2,3118
102049,4,2072
102058,1,522
102058,2,479
102058,4,43
102067,1,9728
102067,2,9728
102076,1,3305
102076,2,3305
102094,1,17544
102094,2,13706
102094,4,3838
102234,1,1849
102234,2,1548
102234,4,301
102261,1,212
102261,2,212
102270,1,1145
102270,2,1145
102298,1,799
102298,2,799
102313,1,2642
102313,2,2642
102368,1,36806
102368,2,28121
102368,4,8685
102377,1,2985
102377,2,2511
102377,4,474
102395,1,1165
102395,2,243
102395,4,922
102429,1,6508
102429,2,6508
102553,1,28019
102553,2,26399
102553,4,1620
102580,1,80
102580,2,80
102614,1,15579
102614,2,14118
102614,4,1461
102632,1,6842
102632,2,6214
102632,4,628
102669,1,918
102669,2,653
102669,4,265
102711,1,1182
102711,2,1182
102845,1,3347
102845,2,3347
103361,1,2604
103361,2,2604
103501,1,482
103501,2,482
103644,1,8280
103644,2,8280
103723,1,1695
103723,2,1695
103732,1,157
103732,2,157
103741,1,295
103741,2,295
103778,1,1414
103778,2,2
103778,4,1412
103787,1,114
103787,2,114
103811,1,1673
103811,2,1673
103893,1,1611
103893,2,1611
103909,1,1671
103909,2,1671
103927,1,1264
103927,2,1264
103945,1,333
103945,2,333
103954,1,117
103954,2,117
103963,1,2769
103963,2,2769
104090,1,3032
104090,2,3032
104151,1,79274
104151,2,63101
104151,4,16173
104160,1,13344
104160,2,13344
104179,1,42779
104179,2,33005
104179,4,9774
104188,1,330
104188,2,330
104294,1,373
104294,2,373
104346,1,14646
104346,2,14646
104364,1,1383
104364,2,1383
104391,1,122
104391,2,122
104425,1,16192
104425,2,16192
104434,1,76
104434,2,76
104443,1,291
104443,2,291
104504,1,318
104504,2,318
104531,1,2754
104531,2,2754
104568,1,374
104568,2,374
104577,1,10426
104577,2,10426
104586,1,1846
104586,2,1791
104586,4,55
104665,1,32
104665,2,10
104665,4,22
104708,1,32962
104708,2,32962
104717,1,65509
104717,2,38583
104717,4,26926
104805,1,3411
104805,2,3411
104911,1,449
104911,2,449
104984,1,487
104984,2,487
105118,1,836
105118,2,836
105127,1,212
105127,2,212
105145,1,13266
105145,2,13266
105154,1,41836
105154,2,41836
105163,1,918
105163,2,918
105172,1,1361
105172,2,1361
105206,1,9558
105206,2,9558
105215,1,4455
105215,2,4455
105297,1,3121
105297,2,3121
105330,1,28561
105330,2,22253
105330,4,6308
105349,1,8054
105349,2,8054
105367,1,2653
105367,2,973
105367,4,1680
105428,1,21392
105428,2,21392
105482,1,205
105482,2,205
105516,1,8276
105516,2,5861
105516,4,2415
105525,1,56916
105525,2,56916
105534,1,2847
105534,2,2847
105543,1,1856
105543,2,1856
105589,1,1526
105589,2,1037
105589,4,489
105659,1,1077
105659,2,1077
105668,1,57746
105668,2,57746
105677,1,70
105677,2,70
105701,1,116
105701,2,116
105747,1,17702
105747,2,17702
105792,1,10186
105792,2,10186
105899,1,514
105899,2,514
105987,1,940
105987,2,940
106041,1,4352
106041,2,4352
106102,1,4961
106102,2,3798
106102,4,1163
106111,1,385
106111,2,385
106148,1,12973
106148,2,12973
106245,1,16723
106245,2,12137
106245,4,4586
106263,1,3209
106263,2,1191
106263,4,2018
106281,1,93
106281,2,93
106306,1,1398
106306,2,1398
106315,1,73
106315,2,73
106324,1,74
106324,2,74
106342,1,690
106342,2,690
106351,1,160
106351,2,160
106360,1,67
106360,2,67
106397,1,24559
106397,2,19405
106397,4,5154
106412,1,3811
106412,2,3624
106412,4,187
106449,1,6973
106449,2,6973
106458,1,17591
106458,2,11913
106458,4,5678
106467,1,11783
106467,2,10738
106467,4,1045
106485,1,4606
106485,2,4392
106485,4,214
106494,1,100
106494,2,100
106546,1,1090
106546,2,1090
106607,1,84
106607,2,84
106625,1,3750
106625,2,3750
106704,1,13293
106704,2,11208
106704,4,2085
106713,1,972
106713,2,972
106795,1,2292
106795,2,2292
106810,1,222
106810,2,222
106829,1,399
106829,2,399
106883,1,2284
106883,2,2284
106892,1,421
106892,2,421
106908,1,640
106908,2,640
106980,1,5135
106980,2,5135
106999,1,2239
106999,2,2239
107044,1,7740
107044,2,4653
107044,4,3087
107071,1,4432
107071,2,3753
107071,4,679
107080,1,1501
107080,2,1488
107080,4,13
107099,1,99
107099,2,99
107123,1,57
107123,2,57
107141,1,2390
107141,2,1856
107141,4,534
107211,1,39
107211,2,39
107220,1,539
107220,2,539
107275,1,23
107275,2,23
107293,1,106
107293,2,106
107318,1,3544
107318,2,3544
107327,1,3040
107327,2,3040
107363,1,92
107363,2,92
107442,1,113
107442,2,113
107460,1,3220
107460,2,3220
107488,1,367
107488,2,367
107512,1,1581
107512,2,1581
107521,1,1992
107521,2,1992
107549,1,2165
107549,2,2165
107558,1,656
107558,2,656
107585,1,3287
107585,2,3287
107600,1,743
107600,2,743
107619,1,2895
107619,2,2895
107637,1,3101
107637,2,3101
107655,1,104
107655,2,104
107664,1,15861
107664,2,15861
107725,1,2172
107725,2,2172
107743,1,1369
107743,2,1369
107789,1,171
107789,2,171
107831,1,116
107831,2,116
107877,1,714
107877,2,714
107974,1,2503
107974,2,2503
107983,1,4008
107983,2,3343
107983,4,665
107992,1,3849
107992,2,3849
108065,1,21
108065,2,21
108092,1,9389
108092,2,9389
108199,1,16401
108199,2,16401
108232,1,22236
108232,2,15415
108232,4,6821
108250,1,1264
108250,2,1264
108269,1,133
108269,4,133
108348,1,96
108348,2,96
108649,1,173
108649,2,173
108667,1,11642
108667,2,11642
108807,1,19552
108807,2,19552
108852,1,220
108852,2,220
108861,1,86
108861,4,86
108870,1,356
108870,4,356
108977,1,60
108977,2,60
109040,1,3675
109040,2,3675
109086,1,80
109086,2,51
109086,4,29
109208,1,54155
109208,2,54155
109332,1,684
109332,2,684
109350,1,19052
109350,2,19052
109651,1,2256
109651,2,2056
109651,4,200
109721,1,957
109721,2,957
109730,1,231
109730,2,231
109785,1,11474
109785,2,6254
109785,4,5220
109819,1,27426
109819,2,27426
109891,1,30
109891,2,30
109907,1,5193
109907,2,5193
109934,1,326
109934,2,326
110060,1,378
110060,2,237
110060,4,141
110097,1,6758
110097,2,4504
110097,4,2254
110185,1,1215
110185,2,1158
110185,4,57
110194,1,354
110194,2,354
110219,1,1535
110219,2,1535
110246,1,17877
110246,2,17877
110307,1,316
110307,4,316
110316,1,1603
110316,2,134
110316,4,1469
110334,1,20424
110334,2,20424
110361,1,5822
110361,2,4443
110361,4,1379
110370,1,2061
110370,2,1587
110370,4,474
110398,1,1321
110398,4,1321
110404,1,2274
110404,2,1008
110404,4,1266
110413,1,4812
110413,2,2917
110413,4,1895
110422,1,19077
110422,2,17736
110422,4,1341
110468,1,4517
110468,2,347
110468,4,4170
110486,1,9456
110486,2,7812
110486,4,1644
110495,1,9411
110495,2,7786
110495,4,1625
110510,1,19065
110510,2,15947
110510,4,3118
110529,1,22770
110529,2,20345
110529,4,2425
110538,1,16912
110538,2,15531
110538,4,1381
110547,1,15909
110547,2,12474
110547,4,3435
110556,1,22285
110556,2,18878
110556,4,3407
110565,1,39521
110565,2,33248
110565,4,6273
110574,1,15357
110574,2,12327
110574,4,3030
110583,1,37602
110583,2,30931
110583,4,6671
110592,1,22830
110592,2,17889
110592,4,4941
110608,1,37832
110608,2,31896
110608,4,5936
110617,1,30362
110617,2,26333
110617,4,4029
110635,1,39175
110635,2,28437
110635,4,10738
110644,1,33786
110644,2,26833
110644,4,6953
110653,1,29200
110653,2,23688
110653,4,5512
110662,1,40863
110662,2,28379
110662,4,12484
110671,1,22067
110671,2,19441
110671,4,2626
110680,1,31089
110680,2,25324
110680,4,5765
110699,1,3080
110699,4,3080
110705,1,24078
110705,2,20795
110705,4,3283
110714,1,18412
110714,2,16729
110714,4,1683
110778,1,604
110778,4,604
110875,1,171
110875,2,171
110918,1,26
110918,2,26
110945,1,2224
110945,2,2224
111009,1,1271
111009,2,1271
111054,1,380
111054,2,380
111081,1,1491
111081,2,919
111081,4,572
111188,1,870
111188,2,870
111391,1,1026
111391,4,1026
111434,1,10762
111434,2,10762
111461,1,33263
111461,2,33263
111513,1,326
111513,2,326
111638,1,1006
111638,2,1006
111708,1,472
111708,2,472
111717,1,1129
111717,2,1129
111726,1,502
111726,2,502
111744,1,381
111744,2,381
111762,1,256
111762,2,256
111771,1,351
111771,2,351
111799,1,176
111799,2,176
111887,1,28810
111887,2,28810
111896,1,11427
111896,2,11427
111920,1,21214
111920,2,21214
111939,1,25455
111939,2,25455
111948,1,7706
111948,2,5440
111948,4,2266
111966,1,337
111966,2,164
111966,4,173
112075,1,3916
112075,2,1717
112075,4,2199
112084,1,602
112084,2,578
112084,4,24
112127,1,93
112127,4,93
112172,1,17293
112172,2,17293
112190,1,46543
112190,2,46543
112251,1,2503
112251,4,2503
112260,1,1289
112260,2,1272
112260,4,17
112288,1,592
112288,2,592
112312,1,343
112312,2,83
112312,4,260
112367,1,1918
112367,2,1918
112385,1,18477
112385,2,18477
112394,1,293
112394,2,293
112446,1,1097
112446,2,942
112446,4,155
112455,1,163
112455,2,163
112525,1,3037
112525,4,3037
112561,1,5224
112561,2,5224
112570,1,412
112570,2,412
112686,1,16127
112686,2,16127
112783,1,740
112783,2,740
112826,1,12468
112826,2,12468
113096,1,22825
113096,2,22825
113111,1,8379
113111,2,8379
113193,1,15033
113193,2,15033
113218,1,14897
113218,2,14897
113227,1,314
113227,2,314
113236,1,21655
113236,2,21655
113333,1,38281
113333,2,38281
113397,1,1031
113397,2,1031
113449,1,466
113449,2,466
113537,1,46
113537,2,33
113537,4,13
113573,1,12549
113573,2,12549
113582,1,339
113582,2,339
113607,1,15081
113607,2,15081
113634,1,32207
113634,2,32207
113698,1,2495
113698,2,1702
113698,4,793
113704,1,95
113704,4,95
113856,1,54962
113856,2,54962
113908,1,1363
113908,2,1363
113953,1,8711
113953,2,8711
113980,1,35392
113980,2,35392
114044,1,126
114044,2,126
114062,1,276
114062,2,276
114071,1,875
114071,2,875
114080,1,754
114080,2,754
114114,1,226
114114,4,226
114123,1,937
114123,2,937
114266,1,15419
114266,2,15419
114354,1,5793
114354,2,5793
114372,1,169
114372,2,169
114390,1,1228
114390,2,1228
114415,1,497
114415,2,497
114433,1,3041
114433,2,3041
114460,1,400
114460,2,400
114549,1,1943
114549,4,1943
114585,1,471
114585,4,471
114628,1,189
114628,2,189
114716,1,30120
114716,2,30120
114734,1,69
114734,4,69
114761,1,126
114761,2,126
114789,1,32524
114789,2,32524
114813,1,5027
114813,2,3617
114813,4,1410
114840,1,4414
114840,4,4414
114859,1,31415
114859,2,31415
114895,1,195
114895,2,195
114938,1,12835
114938,2,12835
114947,1,7379
114947,2,7379
115001,1,22282
115001,2,22282
115010,1,499
115010,2,499
115083,1,5002
115083,2,616
115083,4,4386
115126,1,19785
115126,2,19785
115214,1,282
115214,4,282
115296,1,28040
115296,2,28040
115357,1,82
115357,2,82
115393,1,14412
115393,2,14412
115409,1,823
115409,2,823
115454,1,2347
115454,2,2347
115472,1,3366
115472,2,3366
115490,1,2689
115490,2,2689
115515,1,2477
115515,2,2477
115533,1,2477
115533,2,2477
115658,1,264
115658,2,264
115728,1,1448
115728,2,870
115728,4,578
115746,1,911
115746,4,911
115755,1,8446
115755,2,7750
115755,4,696
115773,1,1638
115773,2,1360
115773,4,278
115861,1,11579
115861,2,11579
115931,1,895
115931,2,895
116040,1,1636
116040,2,1636
116226,1,530
116226,2,521
116226,4,9
116350,1,371
116350,2,371
116439,1,23330
116439,2,23330
116466,1,2770
116466,2,2770
116475,1,1220
116475,2,1220
116484,1,1716
116484,2,1716
116563,1,154
116563,2,154
116712,1,1799
116712,2,358
116712,4,1441
116846,1,251
116846,2,135
116846,4,116
117052,1,20871
117052,2,20871
117104,1,648
117104,2,648
117113,1,2824
117113,2,2824
117140,1,10304
