UNITID,F1A13,F1A18
100654,113050823,79610700
100663,1088903701,2236977186
100706,130385545,261995785
100724,204446635,136138305
100733,2203052,13098975
100751,905840696,1534341490
100760,10140149,22932492
100812,20650652,27065625
100830,39394693,51193331
100858,812085277,1269294273
101028,10445983,18033285
101143,5963711,24062130
101161,20850048,30817015
101240,35757086,57786909
101286,13217418,44136484
101295,31366693,83222628
101301,2036047,39336159
101462,4402545,9892885
101471,690434,7366702
101480,114879272,79295032
101499,2158441,12969872
101505,69484963,37978183
101514,42375437,62481347
101569,18332283,26741275
101587,16856130,28355064
101602,7360352,18250392
101648,3827791,20023363
101709,36168552,54975399
101736,7163607,30655282
101879,38382782,91967262
101897,8285014,21010496
101949,5380751,16519553
101994,3483538,4555859
102030,13035605,31051613
102067,18393969,67517711
102076,8322184,22809163
102094,497886000,419271000
102313,10359907,18785290
102368,158690164,236101970
102429,22061418,54322641
102553,64705697,315496448
102614,84879142,397139554
102632,15387037,58283167
102711,,
103361,640938,14465498
103529,106188494,204477441
104151,1270088000,1036795000
104160,88751785,55033945
104179,1360046000,973603000
104346,67227936,80739938
104425,30842174,48813724
104577,2933652,74882695
104708,,
105136,776002667,660052656
105145,,
105154,,
105206,12286533,17391342
105297,3909846,52777716
105330,547571782,368830300
105349,1300414,58528019
105428,,
105525,38180606,199062637
105668,,
105747,,
105792,,
106148,62504995,65289513
106245,119504456,185509739
106263,453029000,671946000
106397,557873774,635232999
106412,31127843,84367807
106449,40584531,37169484
106458,146814628,184969150
106467,66384309,80642614
106485,16220118,38363491
106625,3715414,34514814
106704,101879641,89225985
106795,6752634,11771549
106829,,
106883,1841169,19659161
106980,15243598,19567155
106999,5351596,15695958
107071,38746600,36023359
107318,18890404,35869557
107327,6121569,23099020
107460,5788429,18621580
107488,,
107521,2133219,3836707
107549,3897531,9606742
107585,4306994,14154284
107619,14697282,14537767
107637,3033282,24409091
107664,52118590,35329083
107725,7747809,10029893
107743,1843781,12762489
107974,6042816,21745884
107983,43250484,40406447
107992,1777440,18507498
108056,14783824,26652575
108092,85605149,80046381
108667,,
108807,108016647,86281047
109208,,
109350,175640159,43835185
109819,337348702,173033918
109907,1889233,32168153
110246,106607929,146697271
110334,210282208,90921923
110398,48684228,131225185
110422,514558442,381037424
110486,44639873,109239083
110495,59768014,120221272
110501,1131674406,-118911947
110510,164000938,296778099
110529,225631127,351661472
110538,195981328,205054572
110547,63406558,176768191
110556,130706709,288585535
110565,441894549,412587195
110574,164690170,153055811
110583,235704489,457920181
110592,129271882,295596442
110608,251523302,451006348
110617,306030581,263178223
110635,,
110644,,
110653,,
110662,,
110671,,
110680,,
110699,,
110705,,
110714,,
111188,22771398,63804667
111434,130177017,31415817
111461,223577309,80564838
111887,139706032,76168379
111896,,
111920,356383818,63811901
111939,201602501,168771830
112172,98423231,74650291
112190,486670766,172410103
112367,,
112376,36787953,14500529
112385,64611880,25517940
112561,,
112686,84556483,26557197
112817,327489062,188369691
112826,,
113096,,
113111,,
113193,49624878,96568858
113218,,
113236,,
113573,337496838,136212178
113634,,
113856,,
113953,,
113980,218443093,110039241
114266,,
114433,6698560,10589466
114716,242299322,43630734
114789,79082923,84442786
114831,605748306,109076834
114859,,
114938,82330394,23279281
115001,98553642,73007839
115126,113487158,44732681
115287,254710806,120057042
115296,,
115393,142873517,76531235
115755,99062230,184176093
115861,74379274,-6279691
116439,,
117052,61918590,143573075
117195,3281911,30082300
117247,,
117274,2968945,7047492
117645,440105297,49820258
117681,3045393480,640860041
117690,,
117706,,
117715,,
117724,,
117733,,
117788,,
117803,,
117867,,
117894,,
117900,279695358,424999079
118347,155499262,46417150
118684,39112175,34109589
118718,64044374,90716723
118772,,
118912,14434320,116814377
118930,,
118976,,
119067,149732505,62500643
119137,,
119164,278480622,163891484
119216,24519099,68877540
119331,160668516,18766817
120023,294241914,316000859
120290,153422444,76390871
120342,193832049,76401835
120421,,
120953,42268997,47389520
120971,180900544,134517898
121044,164543151,188491044
121178,711471552,58557652
121363,,
121619,,
121707,37515143,43135659
121886,155660261,92716415
121901,183829810,195553952
122180,,
122205,,
122339,177815000,79547818
122375,247200387,110588261
122384,120740993,54015030
122409,216604145,407749533
122597,360887599,386464479
122658,227794110,97889218
122737,326759563,84512823
122746,,
122755,349350983,241753581
122782,127782069,30837840
122791,301840716,72843677
122889,67817015,128120353
122977,461357922,124706478
123013,255282168,184722906
123217,101039815,75578487
123299,66424312,33097991
123341,108179529,84778847
123484,32598484,6943785
123493,,
123509,212764098,51346682
123527,,
123563,146021047,29636108
123572,201162387,165672763
123800,207490092,70014109
123925,2959109,26264616
124113,76159068,45912638
124557,27238444000,19351076000
125019,362981840,350912522
125028,,
125091,161522257,56471858
125170,,
125222,317690468,116298007
125301,,
125462,,
125471,,
126100,354196914,118129023
126119,79397731,33262476
126182,72123426,64302444
126207,29155131,84338488
126289,9714875,39539035
126562,751140732,899190479
126580,130231745,169735806
126614,804270398,1102261699
126711,36774681,157171397
126748,11692365,21328426
126775,214054209,160965800
126818,559985556,687060596
126863,6088515,16644313
126915,,
126942,11510853,21723630
127158,,
127185,67351497,114982980
127200,19950958,100444625
127389,1078594,13180818
127556,164836372,152629592
127565,100207570,53409525
127617,1991880,15705887
127732,13016847,18483239
127741,168937472,169545566
127778,5669954,21356384
127820,20822374,39634262
127884,7838122,41179359
127909,11691201,36892535
128106,84493657,79713131
128151,,
128258,4067887,19151165
128300,33398050,213475388
128328,,
128391,95974942,47627980
128577,3535414,7758024
128771,98682379,249080256
128780,1019700,5240156
129020,1514715080,1790167755
129215,57224141,234029147
129367,6789892,61733592
129543,7541215,94616694
129695,11734197,71872847
129729,13147164,56564274
129756,4850997,10625585
129808,8170400,90330168
130004,11597231,49209480
130040,3598165,24256809
130217,3720086,15711769
130396,12093457,206341642
130493,99948204,262202130
130606,7889809,41226600
130624,,
130776,55325261,204074045
130882,89396,3380558
130891,2581080,21034045
130907,1255389,19401437
130916,3272324,47532637
130934,79010843,135181134
